symbol,sig_id,time,entry_price,obi_dir,tps,window,entropy,signal_duration_s,exit_reason,mfe_intra,t1s,t5s,t10s,t30s,t60s,t120s,t300s,t600s,t1200s,t1800s
BTCUSDT,35,08:53:35,74362.975,buy,14.3,300,0.7285,3.5,entropy_normalized,0.0,0.0,0.0,-0.0,0.0311,0.0387,0.1078,0.1449,0.265,0.1053,0.2394
ETHUSDT,30,08:54:54,2023.735,sell,15.5,300,0.5294,9.7,entropy_normalized,0.0007,-0.0002,0.0007,-0.0106,-0.0259,-0.0294,-0.0467,-0.0689,-0.0625,0.0798,-0.0141
BTCUSDT,36,08:55:36,74436.835,sell,14.5,300,0.7351,1.9,entropy_normalized,0.0,-0.0,0.0,0.0166,0.0166,-0.0065,-0.0204,-0.0608,-0.1912,-0.0174,0.0928
BTCUSDT,37,08:57:01,74447.895,buy,11.2,300,0.4583,13.4,entropy_normalized,0.0,0.0,0.0,0.0,0.0055,0.0428,0.0163,0.0781,0.1032,0.0586,-0.0152
BTCUSDT,38,08:57:44,74470.755,buy,20.9,300,0.7015,4.4,entropy_normalized,0.0,-0.0,0.0,0.0121,0.0108,-0.0132,-0.0288,0.0581,0.0279,0.0431,-0.0565
BTCUSDT,39,08:57:54,74479.735,buy,10.6,300,0.6014,9.5,entropy_normalized,0.0,0.0,-0.0,0.0,-0.0121,-0.0252,-0.0409,0.0604,0.0158,0.0504,-0.0685
BTCUSDT,40,08:58:48,74460.955,sell,11.6,300,0.5294,21.5,entropy_normalized,0.0013,0.0,0.0,0.0,0.0013,0.0157,-0.0513,-0.1334,-0.1116,-0.1276,0.0638
BTCUSDT,41,09:00:02,74438.815,sell,21.5,300,0.6653,1.0,entropy_normalized,0.0,-0.0045,-0.0318,-0.0267,-0.0092,-0.1229,-0.0903,-0.1562,-0.1494,-0.1091,-0.0757
ETHUSDT,31,09:00:44,2025.415,buy,16.6,300,0.65,1.9,entropy_normalized,0.0383,0.0002,0.0235,0.0239,0.0037,-0.0397,-0.02,0.0373,-0.0812,0.0175,0.0002
ETHUSDT,32,09:00:54,2025.695,sell,12.2,300,0.6263,1.8,entropy_normalized,0.0002,-0.0002,-0.0146,-0.0442,0.0002,0.0442,0.02,-0.0239,0.1019,-0.017,0.0284
BTCUSDT,42,09:01:09,74493.335,sell,57.4,300,0.6181,1.4,entropy_normalized,0.0,-0.0,-0.0378,-0.0452,-0.0071,-0.0171,-0.0673,-0.1014,0.0237,-0.0607,0.0162
ETHUSDT,33,09:01:42,2024.605,sell,30.6,300,0.6873,6.6,entropy_normalized,-0.0002,-0.0002,-0.0002,-0.0096,-0.0363,-0.02,-0.0852,-0.0032,0.101,-0.1109,0.0007
BTCUSDT,43,09:02:17,74512.575,sell,11.6,300,0.5929,17.5,entropy_normalized,0.0026,-0.0,-0.0,0.0026,-0.004,-0.0414,-0.0556,0.0169,0.0811,-0.0588,0.0288
BTCUSDT,44,09:03:01,74543.435,sell,37.4,300,0.5389,9.9,entropy_normalized,0.0,-0.0,0.0,-0.0,-0.0222,-0.0142,-0.0156,0.0524,0.1373,-0.0214,0.0395
BTCUSDT,45,09:03:26,74558.605,sell,18.0,300,0.6422,9.4,entropy_normalized,0.0,0.0,-0.0019,-0.0019,0.0026,0.0062,-0.0175,0.0625,0.1539,0.0201,0.0713
BTCUSDT,46,09:03:44,74560.255,sell,10.6,300,0.7219,0.9,entropy_normalized,0.0,0.0,-0.0,0.0,0.0084,0.0171,-0.0265,0.0597,0.1667,0.0432,0.0511
BTCUSDT,47,09:05:25,74571.675,buy,15.9,300,0.7478,10.4,entropy_normalized,0.0028,0.0,0.0,-0.0,0.01,-0.0436,-0.0961,-0.0264,-0.1953,-0.1804,-0.0319
BTCUSDT,48,09:06:13,74535.425,buy,85.4,300,0.5099,4.2,entropy_normalized,0.005,-0.0,0.005,0.005,0.0029,-0.0475,-0.0355,-0.0801,-0.0743,-0.1762,0.0118
BTCUSDT,49,09:07:13,74500.005,buy,24.3,300,0.4999,13.0,entropy_normalized,0.0,-0.0,-0.0,0.0,-0.0114,0.012,0.0389,-0.055,-0.004,-0.0885,0.0492
BTCUSDT,50,09:10:04,74555.715,buy,32.1,300,0.6014,11.3,entropy_normalized,0.0,0.0,-0.0038,-0.005,-0.0403,-0.114,-0.1409,-0.1855,-0.0533,-0.0779,-0.0356
BTCUSDT,51,09:11:40,74439.995,sell,37.7,300,0.469,1.0,entropy_normalized,0.0,-0.0143,-0.0359,-0.0359,-0.0144,-0.006,0.0054,-0.0285,-0.1536,-0.0642,-0.11
